date,number_of_rides,number_of_riders,number_of_vehicles_used,median_ride_distance_meters,median_avg_speed,median_ride_duration,number_of_ready_vehicles
2021-07-21,23554,10374,4928,1581.9889815506351,12.008207919553435,8.466667,6466
2021-01-19,2298,1383,1049,1160.5440703342235,10.70342535616464,6.766667,2694
2021-08-08,12747,7349,4241,1358.473064350628,12.520749685499986,7.283333,6710
2020-03-03,3656,2769,1347,1171.1864999864829,12.875731405168406,5.5,1955
2019-06-20,15605,10119,2777,886.5366771686779,8.496612649313887,7.283333,NA
2019-07-08,13355,8691,3096,886.8549347617429,8.707900052680653,6.95,6229
2021-01-08,5456,2951,1672,1071.1735617674424,10.73742647532502,6.45,2949
2021-07-01,31671,14515,4701,1572.1280895030654,12.394719650328161,8.35,5554
2020-09-25,20702,11385,3480,1221.5093613921458,11.763353507945904,6.766667,4437
2020-04-02,2727,1994,1205,1100.282007750472,12.105691185898957,5.683333,4004
2018-09-07,1334,883,166,0,0,7.616667,NA
2020-09-26,16199,9181,3131,1192.6120627399291,10.975580697127636,7.033333,4355
2021-05-24,12323,6433,3669,1365.7589889210756,13.199644810689733,6.683333,5046
2021-08-04,24230,10927,5102,1495.9377776929862,11.853498906495158,8.233333,6510
2019-01-11,1989,1493,511,748.220986435162,8.232244213722526,5.95,NA
2021-04-10,9778,5344,2348,1399.2328988748752,12.164494735740886,7.366667,3054
2021-06-14,24501,11443,4590,1454.0417082484469,12.248269404802022,7.766667,5795
2019-08-20,13739,9706,3241,955.9295529017895,8.954613220989739,6.983333,5143
2020-08-10,12146,6636,2510,1355.6232217598556,11.85620623924931,7.433333,3343
2020-09-19,16117,9089,3232,1253.4116290732472,11.16397612919369,7.333333,4408
2018-09-15,814,551,144,0,0,10.716667,NA
2019-08-19,13125,9146,3266,932.8268645209304,8.833029409218227,6.95,5139
2019-09-17,10107,7271,2876,880.2403176786725,9.594424217240443,5.966667,6072
2018-09-20,1497,1066,230,0,0,7.216667,NA
2020-03-28,2999,2252,1237,1135.1138926008057,12.049883337806872,5.95,4658
2019-01-21,1078,839,517,728.0287657342819,7.812577753731865,6.216667,NA
